epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,65.5011,1.65957,1.32681,1.41887,1,0.95543,0.99346,0.57223,1.39563,0.95199,1.42128,0.00101787,0.00101787,0.00101787
61,66.5647,1.70003,1.41391,1.46655,1,0.95227,0.99346,0.58482,1.4157,0.98928,1.42581,0.00100687,0.00100687,0.00100687
62,67.67,1.70845,1.38712,1.39344,0.94469,0.96,0.97883,0.62138,1.24657,1.10596,1.35199,0.000995866,0.000995866,0.000995866
63,68.7627,1.647,1.35455,1.39708,0.91796,0.89552,0.95994,0.60807,1.27811,1.10399,1.37204,0.000984864,0.000984864,0.000984864
64,69.8584,1.71013,1.32615,1.34487,0.98882,0.88,0.95933,0.56414,1.34212,1.08366,1.40158,0.000973861,0.000973861,0.000973861
65,70.9471,1.67339,1.3375,1.37654,0.9929,0.88,0.97243,0.56255,1.41855,1.06089,1.44706,0.000962859,0.000962859,0.000962859
66,72.0523,1.71977,1.34054,1.43806,0.9977,1,0.995,0.58258,1.32377,1.01291,1.39248,0.000951857,0.000951857,0.000951857
67,73.1241,1.63121,1.20257,1.4119,0.98542,1,0.995,0.59944,1.34977,0.99556,1.39241,0.000940855,0.000940855,0.000940855
68,74.2145,1.73052,1.30772,1.47349,0.9858,1,0.995,0.61141,1.34645,0.91722,1.3914,0.000929853,0.000929853,0.000929853
69,75.2909,1.6624,1.22942,1.35434,0.99965,1,0.995,0.63051,1.30378,0.93699,1.3664,0.00091885,0.00091885,0.00091885
70,76.3892,1.65059,1.25595,1.386,0.91615,0.92,0.97386,0.58513,1.40094,1.0539,1.41373,0.000907848,0.000907848,0.000907848
71,77.5149,1.69108,1.36113,1.42073,0.86735,0.88,0.95136,0.57471,1.39378,1.15299,1.41943,0.000896846,0.000896846,0.000896846
72,78.6216,1.54551,1.1499,1.32684,0.98699,0.96,0.98064,0.57482,1.42214,0.90525,1.43172,0.000885844,0.000885844,0.000885844
73,79.6836,1.59654,1.28346,1.37669,0.99439,0.96,0.98278,0.58004,1.39616,0.87737,1.41202,0.000874842,0.000874842,0.000874842
74,80.7629,1.68304,1.30811,1.3511,0.98921,0.96,0.98726,0.59978,1.35012,1.00501,1.40673,0.000863839,0.000863839,0.000863839
75,81.8602,1.58105,1.17954,1.33103,0.95379,0.88,0.97194,0.57767,1.42019,1.23711,1.45933,0.000852837,0.000852837,0.000852837
76,82.9876,1.58054,1.24107,1.36129,0.92048,0.92,0.96674,0.48597,1.58098,1.22777,1.57313,0.000841835,0.000841835,0.000841835
77,84.0845,1.63532,1.25819,1.42048,0.96114,0.9897,0.99038,0.53278,1.52729,0.99826,1.52129,0.000830833,0.000830833,0.000830833
78,85.2255,1.56409,1.13975,1.32567,0.99774,1,0.995,0.60598,1.31146,0.77249,1.37518,0.000819831,0.000819831,0.000819831
79,86.3318,1.58709,1.22428,1.34761,1,0.9923,0.995,0.62584,1.28655,0.81566,1.36795,0.000808828,0.000808828,0.000808828
80,87.4643,1.56916,1.20335,1.31123,0.92016,1,0.98907,0.60153,1.34178,0.9803,1.39178,0.000797826,0.000797826,0.000797826
81,88.5554,1.61176,1.19079,1.33653,0.9254,0.99263,0.99044,0.61184,1.32166,1.00172,1.37627,0.000786824,0.000786824,0.000786824
82,89.6685,1.57424,1.17399,1.37486,0.9394,1,0.99192,0.55063,1.46785,0.84401,1.45644,0.000775822,0.000775822,0.000775822
83,90.7754,1.52045,1.17678,1.32691,0.98009,1,0.995,0.5661,1.41533,0.7756,1.42408,0.00076482,0.00076482,0.00076482
84,91.9529,1.55944,1.1939,1.27316,0.95198,1,0.99346,0.65011,1.28923,0.77986,1.34935,0.000753817,0.000753817,0.000753817
85,93.0594,1.58746,1.11938,1.33439,0.92519,1,0.98404,0.63145,1.30605,0.88996,1.37383,0.000742815,0.000742815,0.000742815
86,94.1524,1.56322,1.12232,1.30646,0.95418,0.83324,0.95653,0.54479,1.45293,0.98944,1.46442,0.000731813,0.000731813,0.000731813
87,95.2525,1.58038,1.16531,1.31484,0.92474,0.98341,0.98019,0.56299,1.42621,0.87007,1.44554,0.000720811,0.000720811,0.000720811
88,96.3784,1.49471,1.11941,1.27473,1,0.99291,0.995,0.62351,1.30567,0.74156,1.3675,0.000709809,0.000709809,0.000709809
89,97.4727,1.55144,1.17539,1.31945,1,0.98775,0.995,0.61739,1.35108,0.75203,1.38857,0.000698806,0.000698806,0.000698806
